291 499
0.004144 0.000473 -0.000122
0.003694 0.000781 0.000117
-0.004142 -0.000503 0.000401
-0.004633 -0.000773 0.000118
-0.004742 -0.000472 -0.000209
-0.00467 -0.000228 -0.000137
-0.004667 -0.00015 8.2e-005
-0.00462 -0.000234 0.000264
-0.00465 -0.000446 0.000331
-0.005056 -0.00047 6.4e-005
0.004609 0.000708 -0.000124
0.004429 0.000609 0.000109
0.004427 0.000457 -3.6e-005
0.000139 0.000829 0.002852
-0.000642 0.000516 0.002819
-0.00069 0.000763 0.002837
-0.000433 0.000637 0.003064
-0.000409 0.00045 0.002814
-0.000439 0.000667 0.002639
-0.000465 0.000853 0.002952
-0.000385 0.00088 0.002759
-6.2e-005 0.000549 0.002756
5.4e-005 0.000843 0.002983
9.2e-005 0.000624 0.002927
5.7e-005 0.000781 0.002694
-0.000658 0.000653 0.002727
-0.000632 0.000627 0.002985
-1.8e-005 0.000602 0.002807
-0.000161 0.000741 0.002704
-0.000179 0.000858 0.002848
-0.000127 0.00066 0.002999
-0.000988 0.000595 0.001615
-0.001635 0.000626 0.001731
-0.001784 0.000402 0.001739
-0.001391 0.000283 0.001561
-0.001578 0.000393 0.001394
-0.001618 0.000673 0.001527
-0.001577 0.000399 0.001817
-0.001227 0.000539 0.001409
-0.001224 0.000468 0.001792
-0.001084 0.0007 0.001658
-0.00095 0.000497 0.0015
-0.001799 0.000333 0.001542
-0.001807 0.00054 0.001504
-0.00129 0.000441 0.001728
-0.001267 0.000386 0.001549
-0.001308 0.000567 0.00146
-0.001319 0.000645 0.001679
-0.00099 0.000501 -0.001731
-0.001788 0.000247 -0.00176
-0.001583 0.000267 -0.001552
-0.001482 0.000529 -0.001919
-0.001632 0.000613 -0.001768
-0.001621 0.000545 -0.001568
-0.001477 0.00027 -0.001903
-0.001082 0.000365 -0.001617
-0.00103 0.000544 -0.001835
-0.001149 0.000634 -0.001658
-0.001905 0.000476 -0.001795
-0.001811 0.000378 -0.001595
-0.001287 0.000297 -0.001731
-0.001324 0.000476 -0.001873
-0.001342 0.00059 -0.001753
-0.001322 0.000502 -0.001586
-0.00071 0.000637 -0.002965
-0.000702 0.000471 -0.002883
-0.000499 0.000541 -0.002787
-0.00046 0.000335 -0.003085
-0.000504 0.000658 -0.003199
-0.000516 0.000761 -0.002976
-0.000141 0.000695 -0.003196
-0.000141 0.000599 -0.002802
-9e-006 0.000777 -0.002986
4.7e-005 0.000499 -0.003102
0.000133 0.000581 -0.002908
-0.000699 0.000415 -0.003071
-0.000692 0.000583 -0.003129
